#ID  stellarM_bestfit  stellarM_median  stellarM_CL68min  stellarM_CL68max  EWhb_bestfit  EWhb_median  EWhb_CL68min  EWhb_CL68max  EWoiii4959_bestfit  EWoiii4959_median  EWoiii4959_CL68min  EWoiii4959_CL68max  EWoiii5007_bestfit  EWoiii5007_median  EWoiii5007_CL68min  EWoiii5007_CL68max
 3.0391e+05  4.513e+09  2.429e+09  5.899e+08  4.010e+09  6.859e+01  7.874e+01  5.434e+01  1.695e+02  1.606e+01  7.130e+01  9.240e+00  1.656e+02  5.032e+01  2.223e+02  2.875e+01  5.135e+02
 3.0391e+05  3.814e+07  1.264e+08  4.160e+07  4.628e+08  3.769e+02  2.034e+02  9.653e+01  4.246e+02  5.141e+02  1.680e+02  1.552e+01  4.828e+02  1.583e+03  5.202e+02  4.799e+01  1.488e+03
 3.0391e+05  3.131e+08  2.870e+08  9.755e+07  9.988e+08  5.939e+02  2.011e+02  8.788e+01  4.608e+02  6.218e+00  1.392e+02  1.394e+01  4.105e+02  1.905e+01  4.318e+02  4.299e+01  1.265e+03
 3.0391e+05  5.914e+08  3.176e+08  8.860e+07  1.173e+09  6.599e+01  1.672e+02  8.049e+01  3.989e+02  1.707e+02  1.407e+02  1.090e+01  4.167e+02  5.334e+02  4.373e+02  3.351e+01  1.287e+03
 4.0398e+05  5.716e+08  4.199e+08  1.464e+08  1.111e+09  1.965e+02  1.772e+02  8.914e+01  3.524e+02  3.996e+01  1.116e+02  8.785e+00  3.235e+02  1.240e+02  3.457e+02  2.713e+01  1.000e+03
 4.0404e+05  5.574e+07  9.742e+07  3.666e+07  3.463e+08  2.299e+02  2.275e+02  1.189e+02  4.532e+02  5.300e+00  5.208e+01  5.712e+00  2.503e+02  1.638e+01  1.606e+02  1.761e+01  7.725e+02
 4.0404e+05  1.579e+09  1.508e+09  4.940e+08  2.330e+09  1.451e+02  1.276e+02  8.430e+01  2.707e+02  1.342e+00  4.591e+00  1.797e+00  2.034e+01  4.132e+00  1.418e+01  5.569e+00  6.313e+01
 4.0404e+05  1.417e+08  3.905e+08  1.126e+08  1.621e+09  4.032e+02  1.692e+02  8.035e+01  3.730e+02  5.557e+02  2.582e+02  8.468e+01  6.244e+02  1.693e+03  8.010e+02  2.630e+02  1.920e+03
 4.0404e+05  2.439e+07  1.052e+08  4.021e+07  3.807e+08  4.748e+02  2.360e+02  1.195e+02  4.758e+02  1.109e+01  3.758e+01  5.305e+00  1.889e+02  3.393e+01  1.164e+02  1.642e+01  5.843e+02
 4.0409e+05  1.550e+08  4.398e+08  1.253e+08  1.120e+09  5.874e+02  1.705e+02  8.514e+01  4.204e+02  2.479e+02  1.270e+02  1.438e+01  3.177e+02  7.630e+02  3.936e+02  4.446e+01  9.809e+02
 4.0409e+05  1.184e+08  8.669e+08  1.698e+08  2.444e+09  5.915e+02  1.489e+02  7.700e+01  3.317e+02  7.224e+02  1.792e+02  3.795e+01  4.738e+02  2.265e+03  5.569e+02  1.179e+02  1.462e+03
 4.0409e+05  6.180e+07  8.041e+07  4.201e+07  1.848e+08  1.899e+02  2.227e+02  1.436e+02  3.640e+02  3.766e+02  2.779e+02  1.165e+02  4.328e+02  1.167e+03  8.574e+02  3.607e+02  1.334e+03
 4.0409e+05  2.721e+07  4.855e+07  2.914e+07  1.325e+08  6.097e+02  3.130e+02  1.728e+02  5.491e+02  5.620e+01  5.437e+01  6.992e+00  2.435e+02  1.719e+02  1.675e+02  2.154e+01  7.506e+02
 4.0409e+05  9.886e+08  4.219e+08  1.035e+08  9.501e+08  8.362e+01  1.357e+02  7.506e+01  3.736e+02  1.787e+01  6.831e+01  5.779e+00  1.925e+02  5.545e+01  2.120e+02  1.786e+01  5.970e+02
 4.0410e+05  7.622e+07  9.992e+07  4.890e+07  3.081e+08  2.462e+02  2.557e+02  1.276e+02  4.537e+02  7.327e+02  3.730e+02  9.000e+01  7.576e+02  2.218e+03  1.152e+03  2.781e+02  2.326e+03
 4.0410e+05  2.428e+07  8.096e+07  3.120e+07  3.752e+08  5.101e+02  2.061e+02  9.922e+01  4.045e+02  1.174e+03  3.248e+02  1.081e+02  6.984e+02  3.392e+03  1.004e+03  3.351e+02  2.146e+03
 4.0410e+05  4.897e+07  9.317e+07  3.231e+07  3.018e+08  1.912e+02  1.841e+02  1.033e+02  3.256e+02  3.394e+02  1.717e+02  1.096e+01  4.205e+02  1.054e+03  5.320e+02  3.374e+01  1.297e+03
