#ID  stellarM_bestfit  stellarM_median  stellarM_CL68min  stellarM_CL68max  EWhb_bestfit  EWhb_median  EWhb_CL68min  EWhb_CL68max  EWoiii4959_bestfit  EWoiii4959_median  EWoiii4959_CL68min  EWoiii4959_CL68max  EWoiii5007_bestfit  EWoiii5007_median  EWoiii5007_CL68min  EWoiii5007_CL68max
 4.0412e+05  6.150e+07  1.151e+08  6.456e+07  6.331e+08  5.341e+02  2.482e+02  1.167e+02  4.253e+02  9.318e+02  5.243e+02  2.360e+02  8.815e+02  2.972e+03  1.619e+03  7.309e+02  2.708e+03
 5.0153e+04  1.057e+08  1.383e+08  6.285e+07  5.372e+08  3.927e+02  2.891e+02  1.310e+02  5.292e+02  7.112e+00  2.222e+01  5.637e+00  1.281e+02  2.189e+01  6.835e+01  1.742e+01  3.939e+02
 5.0154e+04  2.495e+07  5.776e+07  1.705e+07  2.328e+08  2.746e+02  2.255e+02  1.087e+02  4.534e+02  8.929e+00  7.433e+01  6.735e+00  3.184e+02  2.763e+01  2.297e+02  2.078e+01  9.823e+02
 5.0161e+04  2.169e+07  5.916e+07  2.349e+07  2.396e+08  4.135e+02  2.283e+02  1.103e+02  4.412e+02  5.690e+02  2.022e+02  1.494e+01  5.533e+02  1.732e+03  6.265e+02  4.580e+01  1.703e+03
 5.0164e+04  2.861e+07  8.612e+07  3.210e+07  3.726e+08  5.627e+02  2.159e+02  1.063e+02  4.133e+02  1.320e+03  2.319e+02  2.775e+01  6.091e+02  4.079e+03  7.175e+02  8.611e+01  1.871e+03
 5.0169e+04  9.554e+07  1.348e+08  5.179e+07  5.410e+08  5.985e+02  2.494e+02  1.131e+02  5.044e+02  5.910e+00  5.991e+01  6.556e+00  2.773e+02  1.802e+01  1.849e+02  2.016e+01  8.570e+02
 6.0283e+04  1.739e+08  1.936e+08  7.676e+07  7.390e+08  1.173e+02  2.044e+02  9.116e+01  4.496e+02  3.098e+02  1.422e+02  9.517e+00  4.070e+02  9.575e+02  4.405e+02  2.918e+01  1.257e+03
 6.0293e+04  1.215e+08  3.028e+08  8.099e+07  8.993e+08  2.428e+02  1.748e+02  9.409e+01  3.020e+02  5.069e+02  1.648e+02  1.622e+01  4.274e+02  1.556e+03  5.094e+02  5.049e+01  1.323e+03
 6.0294e+04  5.358e+07  8.966e+07  4.219e+07  3.337e+08  1.553e+02  2.073e+02  1.076e+02  3.815e+02  4.871e+02  3.479e+02  1.259e+02  6.752e+02  1.510e+03  1.075e+03  3.907e+02  2.077e+03
 7.0291e+04  2.128e+08  1.961e+08  1.156e+08  4.639e+08  2.046e+02  2.091e+02  1.230e+02  3.482e+02  5.554e+02  5.043e+02  3.130e+02  7.614e+02  1.724e+03  1.553e+03  9.682e+02  2.334e+03
 7.0304e+04  1.194e+08  9.745e+08  1.870e+08  2.050e+09  4.949e+02  1.509e+02  7.956e+01  3.616e+02  5.159e+02  1.507e+02  3.400e+01  3.691e+02  1.585e+03  4.666e+02  1.052e+02  1.140e+03
 7.0309e+04  4.080e+08  1.234e+09  5.538e+08  4.176e+09  5.473e+02  2.963e+02  1.383e+02  5.383e+02  1.504e+02  1.802e+01  5.041e+00  9.239e+01  4.589e+02  5.554e+01  1.556e+01  2.835e+02
 7.0318e+04  7.976e+07  1.511e+08  8.164e+07  4.204e+08  5.994e+02  3.748e+02  1.963e+02  5.908e+02  2.144e+01  1.714e+01  6.876e+00  9.249e+01  6.557e+01  5.244e+01  2.121e+01  2.840e+02
 7.0322e+04  8.241e+07  1.353e+08  8.295e+07  4.038e+08  3.717e+02  2.675e+02  1.476e+02  4.409e+02  1.013e+03  5.628e+02  3.089e+02  8.963e+02  3.071e+03  1.735e+03  9.563e+02  2.756e+03
 7.0323e+04  1.581e+08  2.903e+08  1.313e+08  1.337e+09  2.981e+02  2.282e+02  1.085e+02  4.206e+02  1.038e+03  4.213e+02  1.707e+02  8.055e+02  3.177e+03  1.298e+03  5.295e+02  2.472e+03
 7.0324e+04  2.072e+09  1.048e+09  2.800e+08  2.045e+09  3.938e+01  1.179e+02  5.478e+01  3.544e+02  9.571e+01  1.594e+02  6.325e+01  2.933e+02  2.981e+02  4.950e+02  1.941e+02  9.065e+02
